year,odometer,cylinders,fuel,manufacture,drive,paint,price,transmission
2015,85582,NaN,0.0,bmw,rwd,silver,23596,0.0
2016,41877,NaN,0.0,bmw,rwd,white,23985,0.0
2006,140000,NaN,0.0,dodge,NaN,NaN,6500,0.0
2016,65911,NaN,0.0,bmw,rwd,blue,18985,0.0
2017,32540,NaN,0.0,bmw,rwd,black,23985,0.0
2003,140000,NaN,0.0,honda,NaN,NaN,3800,0.0
2013,97379,NaN,0.0,bmw,rwd,black,15985,0.0
2015,77686,NaN,0.0,bmw,4wd,silver,22695,0.0
2017,38079,NaN,0.0,chevrolet,fwd,blue,10985,0.0
2013,99354,NaN,0.0,bmw,rwd,blue,19985,0.0
2014,88517,NaN,0.0,bmw,rwd,black,19219,0.0
2018,28760,NaN,0.0,ford,4wd,grey,44985,0.0
2019,33932,NaN,1.0,ford,fwd,white,21985,0.0
2014,83430,NaN,0.0,bmw,rwd,black,17235,0.0
2016,68302,NaN,0.0,bmw,rwd,black,20985,0.0
2016,103478,NaN,0.0,bmw,4wd,black,16985,0.0
2018,24748,NaN,NaN,gmc,NaN,NaN,48988,NaN
2020,53033,NaN,0.0,chevrolet,rwd,white,33352,0.0
2015,74477,NaN,0.0,bmw,rwd,black,18985,0.0
2015,75642,NaN,0.0,bmw,rwd,grey,17985,1.0
2018,37062,NaN,0.0,audi,4wd,black,32985,0.0
2012,107583,NaN,0.0,bmw,rwd,white,13488,0.0
2016,104110,NaN,0.0,bmw,rwd,white,18985,0.0
2016,68224,NaN,0.0,chevrolet,4wd,brown,35985,0.0
2019,38279,NaN,0.0,chevrolet,fwd,blue,16985,0.0
2018,42017,NaN,0.0,cadillac,rwd,grey,22985,0.0
2015,106761,NaN,0.0,bmw,4wd,grey,18985,0.0
2016,69320,NaN,0.0,bmw,rwd,blue,33985,0.0
2014,125333,4,0.0,mazda,rwd,NaN,10900,0.0
2018,34620,NaN,0.0,bmw,4wd,black,44985,0.0
