year,odometer,cylinders,fuel,manufacture,drive,paint,price,transmission
2003.0,320.0,,0.0,toyota,,white,3500.0,0.0
1992.0,51000.0,8.0,0.0,gmc,rwd,custom,29900.0,0.0
2019.0,43202.0,4.0,0.0,mazda,fwd,,309.0,0.0
2008.0,149000.0,6.0,0.0,,fwd,,6950.0,0.0
2014.0,48926.0,,0.0,bmw,,,23488.0,0.0
2009.0,84765.0,,0.0,toyota,fwd,,10999.0,0.0
2016.0,97040.0,,0.0,audi,4wd,silver,18999.0,0.0
2012.0,130375.0,,0.0,toyota,fwd,silver,12499.0,0.0
2014.0,137498.0,,0.0,acura,4wd,blue,16999.0,0.0
2013.0,90268.0,,0.0,audi,4wd,grey,18499.0,0.0
2015.0,145046.0,,0.0,toyota,fwd,grey,13999.0,0.0
2013.0,219287.0,,0.0,toyota,rwd,white,16952.0,0.0
2023.0,10.0,8.0,0.0,,rwd,black,550.0,0.0
2011.0,134736.0,,0.0,toyota,rwd,blue,20426.0,0.0
2015.0,127466.0,,0.0,toyota,rwd,,21452.0,0.0
2007.0,154713.0,4.0,0.0,toyota,,grey,6000.0,0.0
2013.0,98280.0,,0.0,audi,fwd,grey,16999.0,0.0
2014.0,110401.0,,0.0,toyota,fwd,black,17999.0,0.0
2020.0,38037.0,,0.0,toyota,fwd,white,38926.0,0.0
2018.0,77899.0,,0.0,toyota,fwd,purple,21999.0,0.0
2007.0,133000.0,4.0,0.0,audi,rwd,silver,5000.0,0.0
2017.0,70862.0,,0.0,audi,fwd,black,21999.0,0.0
2014.0,122397.0,,0.0,subaru,4wd,silver,13995.0,0.0
2011.0,180925.0,,0.0,toyota,fwd,silver,11326.0,0.0
2015.0,77201.0,,0.0,audi,fwd,white,16995.0,0.0
2015.0,157310.0,,0.0,toyota,fwd,black,14926.0,0.0
2016.0,123929.0,,0.0,toyota,fwd,,21995.0,0.0
2016.0,133000.0,4.0,0.0,nissan,fwd,white,15000.0,0.0
1980.0,135000.0,,0.0,,,,11000.0,0.0
